From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
Proper - 19,Proper - 18,Muelle Loney St 3 (Rev),0.0,2800,0.0
Proper - 19,Proper - 21,Muelle Loney St 4,0.0,2800,0.0
Proper - 20,Proper - 17,Dela Rama St 2 (Rev),0.0,1400,0.0
Proper - 21,Proper - 19,Muelle Loney St 4 (Rev),0.0,2800,0.0
Proper - 21,Proper - 22,Fort San Pedro Dr,0.0,2800,0.0
Proper - 22,Proper - 15,General Hughes St 2 (Rev),0.0,2800,0.0
Proper - 22,Proper - 21,Fort San Pedro Dr (Rev),0.0,2800,0.0
mandurriao - 1,Proper - 1,Old Iloilo - Capiz Rd,2454.95,2800,0.877
mandurriao - 1,mandurriao - 2,Mandurriao - Jaro Rd,1029.7,2800,0.368
mandurriao - 1,jaro - 17,Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),0.0,5600,0.0
mandurriao - 1,jaro - 7,El 98 St (Rev),868.67,2800,0.31
mandurriao - 2,mandurriao - 1,Mandurriao - Jaro Rd (Rev),1029.7,2800,0.368
mandurriao - 2,mandurriao - 3,Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,664.6,2800,0.237
mandurriao - 3,mandurriao - 12,Mandurriao - Sn Miguel Rd,1659.4,2800,0.593
mandurriao - 3,mandurriao - 4,Mandurriao - Sn Miguel Rd - R Mapa St,664.6,5600,0.119
mandurriao - 4,mandurriao - 5,Pakiad Rd,0.0,2800,0.0
mandurriao - 4,mandurriao - 2,R Mapa St - Mandurriao - Jaro Rd,664.6,2800,0.237
mandurriao - 4,mandurriao - 6,R Mapa St,475.5,2800,0.17
mandurriao - 5,mandurriao - 4,Pakiad Rd (Rev),0.0,2800,0.0
mandurriao - 6,Molo - 3,New Carpenter Bridge (Rev),564.66,1400,0.403
mandurriao - 6,mandurriao - 4,R Mapa St (Rev),475.5,2800,0.17
mandurriao - 6,mandurriao - 7,R Mapa St - Extension,0.0,1400,0.0
mandurriao - 7,mandurriao - 6,R Mapa St - Extension (Rev),0.0,1400,0.0
mandurriao - 8,villa - 2,Iloilo Circumferential Rd 1 (Rev),634.2,2800,0.227
mandurriao - 9,mandurriao - 12,Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,0.0,2800,0.0
